qv_bl,inv,delt,delq,na,baut
9.66990866252945,955.287795361327,17.9024162563493,-3.93720160242084,155.175612418439,-1.36790782710546
10.6365746975825,717.483237935701,17.3140684142367,-2.34364205562964,83.4371456656527,-1.85046438749917
10.1140826657276,934.442920321182,15.2117742062991,-4.45486902418764,389.492404534853,-1.47659775271903
10.6666502171989,789.116195917979,14.4932608554624,-7.00860317978196,289.222338186437,-1.44175669299475
8.78608616590643,849.030774623159,12.2869416499924,-3.4476819501123,272.647595109273,-1.95972640424651
9.61199895033995,1189.11548524682,18.7376624924543,-3.98941830415609,378.682145126351,-1.44938961462395
10.3358856128604,685.472425454055,16.8338893967568,-1.54037706399789,352.123389992424,-1.54548492771132
8.83699305169026,776.052936843175,16.7247745631362,-6.0215885438222,349.229721028214,-1.32068968181574
9.0198883365031,838.878636854585,15.0451578307205,-2.94951877156833,196.404743207028,-1.46044493696656
8.01023286489923,1170.72245776815,18.4398675488688,-3.09834242419745,391.765991277679,-1.41091730395762
7.87418709253027,1241.72446802252,16.5273132036691,-1.92754770184082,342.473095386766,-1.8204632040491
9.48363598744547,1184.2937142643,13.2295304141237,-2.20624572241863,264.46762271371,-1.50448004101732
